이름,지역,클래스,카테고리,세부분류
씨네월드디비디,서울특별시,장소,문화시설,비디오/DVD감상실
WOL시네마,서울특별시,장소,문화시설,비디오/DVD감상실
타임DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
명보DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
헐리우드DVD,서울특별시,장소,문화시설,비디오/DVD감상실
타임영화관,서울특별시,장소,문화시설,비디오/DVD감상실
CGV,대전광역시,장소,문화시설,CGV
메가박스,경기도,장소,문화시설,메가박스
롯데시네마,서울특별시,장소,문화시설,롯데시네마
롯데시네마,광주광역시,장소,문화시설,롯데시네마
롯데시네마,경기도,장소,문화시설,롯데시네마
메가박스,광주광역시,장소,문화시설,메가박스
CGV,대구광역시,장소,문화시설,CGV
CGV,경기도,장소,문화시설,CGV
CGV,경기도,장소,문화시설,CGV
CGV,대구광역시,장소,문화시설,CGV
CGV,인천광역시,장소,문화시설,CGV
CGV,충청남도,장소,문화시설,CGV
롯데시네마,경기도,장소,문화시설,롯데시네마
CGV,충청남도,장소,문화시설,CGV
CGV,서울특별시,장소,문화시설,CGV
NDVD,서울특별시,장소,문화시설,비디오/DVD감상실
롯데시네마,경기도,장소,문화시설,롯데시네마
CGV,인천광역시,장소,문화시설,CGV
롯데시네마,경기도,장소,문화시설,롯데시네마
양주자동차극장,경기도,장소,문화시설,자동차전용극장
롯데시네마,충청북도,장소,문화시설,롯데시네마
와우4D파크,경기도,장소,문화시설,일반극장/영화관
롯데시네마,서울특별시,장소,문화시설,롯데시네마
롯데시네마,서울특별시,장소,문화시설,롯데시네마
롯데시네마,경상북도,장소,문화시설,롯데시네마
메가박스,경기도,장소,문화시설,메가박스
블래스유DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
롯데시네마,경상남도,장소,문화시설,롯데시네마
초록사과키즈영화관,경기도,장소,문화시설,일반극장/영화관
영화공간주안,인천광역시,장소,문화시설,일반극장/영화관
롯데시네마,서울특별시,장소,문화시설,롯데시네마
레드카펫DVD,대전광역시,장소,문화시설,비디오/DVD감상실
CGV,서울특별시,장소,문화시설,CGV
CGV,울산광역시,장소,문화시설,CGV
CGV,대전광역시,장소,문화시설,CGV
CGV,경상남도,장소,문화시설,CGV
CGV,경기도,장소,문화시설,CGV
CGV,대구광역시,장소,문화시설,CGV
메가박스,부산광역시,장소,문화시설,메가박스
롯데시네마,서울특별시,장소,문화시설,롯데시네마
엔피아DVD,인천광역시,장소,문화시설,비디오/DVD감상실
휴스테이,서울특별시,장소,문화시설,비디오/DVD감상실
CGV,서울특별시,장소,문화시설,CGV
롯데시네마,경기도,장소,문화시설,롯데시네마
DMZDVD방,서울특별시,장소,문화시설,비디오/DVD감상실
CINE6DVD,서울특별시,장소,문화시설,비디오/DVD감상실
롯데시네마,경기도,장소,문화시설,롯데시네마
롯데시네마,서울특별시,장소,문화시설,롯데시네마
블루마씨네자동차극장,울산광역시,장소,문화시설,자동차전용극장
CGV,광주광역시,장소,문화시설,CGV
롯데시네마,경상남도,장소,문화시설,롯데시네마
디씨어터,서울특별시,장소,문화시설,비디오/DVD감상실
롯데시네마,경기도,장소,문화시설,롯데시네마
메가박스,경기도,장소,문화시설,메가박스
롯데시네마,충청남도,장소,문화시설,롯데시네마
롯데시네마,광주광역시,장소,문화시설,롯데시네마
CGV,전라북도,장소,문화시설,CGV
나래울극장,경기도,장소,문화시설,일반극장/영화관
세종자동차극장,세종특별자치시,장소,문화시설,자동차전용극장
영화이야기,경상남도,장소,문화시설,비디오/DVD감상실
SKY,대구광역시,장소,문화시설,비디오/DVD감상실
씨네로,서울특별시,장소,문화시설,일반극장/영화관
CGV,충청북도,장소,문화시설,CGV
롯데시네마,울산광역시,장소,문화시설,롯데시네마
문스,전라북도,장소,문화시설,비디오/DVD감상실
프리미엄DVD,전라북도,장소,문화시설,비디오/DVD감상실
롯데DVD방,서울특별시,장소,문화시설,비디오/DVD감상실
홍천시네마,강원도,장소,문화시설,일반극장/영화관
해리포터비디오,강원도,장소,문화시설,비디오/DVD감상실
롯데시네마,경상북도,장소,문화시설,롯데시네마
라떼DVD방,서울특별시,장소,문화시설,비디오/DVD감상실
CGV,강원도,장소,문화시설,CGV
상무지구기분좋은극장,광주광역시,장소,문화시설,일반극장/영화관
CGV,경기도,장소,문화시설,CGV
롯데시네마,대전광역시,장소,문화시설,롯데시네마
롯데시네마,경상남도,장소,문화시설,롯데시네마
충장로기분좋은극장,광주광역시,장소,문화시설,일반극장/영화관
CGV,광주광역시,장소,문화시설,CGV
나인DVD방,경기도,장소,문화시설,비디오/DVD감상실
순수댄스컴퍼니,서울특별시,장소,문화시설,일반극장/영화관
웨스턴심포니오케스트라,서울특별시,장소,문화시설,일반극장/영화관
탑DVD영화관,광주광역시,장소,문화시설,비디오/DVD감상실
광릉수목원자동차극장,경기도,장소,문화시설,자동차전용극장
재미공작소,서울특별시,장소,문화시설,일반극장/영화관
임실한마당작은별영화관,전라북도,장소,문화시설,일반극장/영화관
기장군청차성아트홀영화관,부산광역시,장소,문화시설,일반극장/영화관
애플DVD영화방,대전광역시,장소,문화시설,비디오/DVD감상실
헐리웃영화관,부산광역시,장소,문화시설,비디오/DVD감상실
해피존영화관,서울특별시,장소,문화시설,비디오/DVD감상실
팝스DVD,경기도,장소,문화시설,비디오/DVD감상실
CGV,경기도,장소,문화시설,CGV
피에로소극장,울산광역시,장소,문화시설,일반극장/영화관
엔터디브이디,서울특별시,장소,문화시설,비디오/DVD감상실
올망졸망지평선시네마,전라북도,장소,문화시설,일반극장/영화관
DVDZONE,충청남도,장소,문화시설,비디오/DVD감상실
와팝,서울특별시,장소,문화시설,일반극장/영화관
아라리오뮤지엄탑동시네마,제주특별자치도,장소,문화시설,일반극장/영화관
노블DVD방,인천광역시,장소,문화시설,비디오/DVD감상실
무주산골영화관,전라북도,장소,문화시설,일반극장/영화관
CGV,경기도,장소,문화시설,CGV
CGV,전라북도,장소,문화시설,CGV
롯데시네마,부산광역시,장소,문화시설,롯데시네마
씨네엔죠이DVD방,강원도,장소,문화시설,비디오/DVD감상실
CGV,인천광역시,장소,문화시설,CGV
초록사과키즈영화관,경상남도,장소,문화시설,일반극장/영화관
엑스무비DVD방,전라북도,장소,문화시설,비디오/DVD감상실
허브DVD방,충청남도,장소,문화시설,비디오/DVD감상실
CGV,서울특별시,장소,문화시설,CGV
CGV,경상북도,장소,문화시설,CGV
씨어터송,서울특별시,장소,문화시설,일반극장/영화관
아카데미프리존,부산광역시,장소,문화시설,비디오/DVD감상실
롯데시네마,서울특별시,장소,문화시설,롯데시네마
구례자연드림시네마,전라남도,장소,문화시설,일반극장/영화관
씨네원DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
코코아DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
NC백화점송파점소극장,서울특별시,장소,문화시설,일반극장/영화관
애기똥풀인형극장,경기도,장소,문화시설,일반극장/영화관
CGV,충청남도,장소,문화시설,CGV
팝스DVD상모점,경상북도,장소,문화시설,비디오/DVD감상실
추억극장미림,인천광역시,장소,문화시설,일반극장/영화관
수작DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
하늘바람소극장,부산광역시,장소,문화시설,일반극장/영화관
CGV,경기도,장소,문화시설,CGV
CGV,대전광역시,장소,문화시설,CGV
DVD방,서울특별시,장소,문화시설,비디오/DVD감상실
롯데시네마,서울특별시,장소,문화시설,롯데시네마
극장동국,서울특별시,장소,문화시설,일반극장/영화관
브로드웨이DVD영화관,제주특별자치도,장소,문화시설,비디오/DVD감상실
퍼니락퍼니디브이디,경기도,장소,문화시설,비디오/DVD감상실
디프DVD,서울특별시,장소,문화시설,비디오/DVD감상실
롯데시네마,경기도,장소,문화시설,롯데시네마
레옹DVD,서울특별시,장소,문화시설,비디오/DVD감상실
하이비젼DVD방,인천광역시,장소,문화시설,비디오/DVD감상실
초록사과키즈영화관,경기도,장소,문화시설,일반극장/영화관
초록사과키즈영화관,대구광역시,장소,문화시설,일반극장/영화관
초록사과키즈영화관,경기도,장소,문화시설,일반극장/영화관
초록사과키즈영화관,경상북도,장소,문화시설,일반극장/영화관
이봄씨어터,서울특별시,장소,문화시설,일반극장/영화관
필란디아DVD방,서울특별시,장소,문화시설,비디오/DVD감상실
레드켓츠DVD방,경상남도,장소,문화시설,비디오/DVD감상실
엔플러스,서울특별시,장소,문화시설,비디오/DVD감상실
CGV,경기도,장소,문화시설,CGV
롯데시네마,경기도,장소,문화시설,롯데시네마
메가박스,경기도,장소,문화시설,메가박스
메가박스,전라남도,장소,문화시설,메가박스
메가박스,경기도,장소,문화시설,메가박스
롯데시네마,부산광역시,장소,문화시설,롯데시네마
나비예술극장,경상남도,장소,문화시설,일반극장/영화관
롯데시네마,부산광역시,장소,문화시설,롯데시네마
CGV,광주광역시,장소,문화시설,CGV
영DVD방,경상북도,장소,문화시설,비디오/DVD감상실
숲DVD,경기도,장소,문화시설,비디오/DVD감상실
완주휴시네마,전라북도,장소,문화시설,일반극장/영화관
팝스DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
메가박스,경기도,장소,문화시설,메가박스
롯데시네마,경기도,장소,문화시설,롯데시네마
산천어시네마,강원도,장소,문화시설,일반극장/영화관
마이골작은영화관,전라북도,장소,문화시설,일반극장/영화관
롯데시네마,경기도,장소,문화시설,롯데시네마
씨네독DVD영화카페,경기도,장소,문화시설,비디오/DVD감상실
미예랑소극장,제주특별자치도,장소,문화시설,일반극장/영화관
CGV,대전광역시,장소,문화시설,CGV
카멜레온DVD영화관,경상남도,장소,문화시설,비디오/DVD감상실
군포G시네마,경기도,장소,문화시설,일반극장/영화관
CGV,전라남도,장소,문화시설,CGV
경암소극장,서울특별시,장소,문화시설,일반극장/영화관
메가박스,서울특별시,장소,문화시설,메가박스
오오극장,대구광역시,장소,문화시설,일반극장/영화관
부안마실영화관,전라북도,장소,문화시설,일반극장/영화관
샤인DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
MJHDVD방,경상남도,장소,문화시설,비디오/DVD감상실
로드쇼DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
객석클라라하우스,대전광역시,장소,문화시설,일반극장/영화관
TOPDVD상영관,대전광역시,장소,문화시설,비디오/DVD감상실
뷰카25,강원도,장소,문화시설,자동차전용극장
굿디지털영화관,경상북도,장소,문화시설,비디오/DVD감상실
지존DVD영화관,대전광역시,장소,문화시설,비디오/DVD감상실
어울림소극장,강원도,장소,문화시설,일반극장/영화관
무비존DVD,경상남도,장소,문화시설,비디오/DVD감상실
CGV,서울특별시,장소,문화시설,CGV
