이름,지역,클래스,카테고리,세부분류
삼성생명문화센터,대구광역시,장소,문화시설,공연/연극/문화센터
전북대학교삼성문화회관,전라북도,장소,문화시설,공연/연극/문화센터
사천문예회관,경상남도,장소,문화시설,공연/연극/문화센터
사당문화회관,서울특별시,장소,문화시설,공연/연극/문화센터
빛고을국악전수관,광주광역시,장소,문화시설,공연/연극/문화센터
불국사문화회관,경상북도,장소,문화시설,공연/연극/문화센터
불교문화회관,충청북도,장소,문화시설,공연/연극/문화센터
중앙국악원,대전광역시,장소,문화시설,공연/연극/문화센터
대구문화예술회관,대구광역시,장소,문화시설,공연/연극/문화센터
대가야국악당,경상북도,장소,문화시설,공연/연극/문화센터
당진문예회관,충청남도,장소,문화시설,공연/연극/문화센터
담양문화회관,전라남도,장소,문화시설,공연/연극/문화센터
임수자국악원,대구광역시,장소,문화시설,공연/연극/문화센터
문화의전당,경상남도,장소,문화시설,공연/연극/문화센터
김정문화회관,제주특별자치도,장소,문화시설,공연/연극/문화센터
군산국악원,전라북도,장소,문화시설,공연/연극/문화센터
국제예술문화원,전라남도,장소,문화시설,공연/연극/문화센터
국립부산국악원,부산광역시,장소,문화시설,공연/연극/문화센터
민속국악원,전라북도,장소,문화시설,공연/연극/문화센터
남도국악원,전라남도,장소,문화시설,공연/연극/문화센터
길동생태문화센터,서울특별시,장소,문화시설,공연/연극/문화센터
금산문화회관,충청남도,장소,문화시설,공연/연극/문화센터
군포시문화예술회관,경기도,장소,문화시설,공연/연극/문화센터
교육문화회관,전라북도,장소,문화시설,공연/연극/문화센터
KT스퀘어,서울특별시,장소,문화시설,공연/연극/문화센터
KBS창원홀,경상남도,장소,문화시설,공연/연극/문화센터
KBS울산홀,울산광역시,장소,문화시설,공연/연극/문화센터
CBS문화센터,서울특별시,장소,문화시설,공연/연극/문화센터
5.18기념회관,광주광역시,장소,문화시설,공연/연극/문화센터
문화센터,광주광역시,장소,문화시설,공연/연극/문화센터
문경문화예술회관,경상북도,장소,문화시설,구민/시민회관
무주예체문화관,전라북도,장소,문화시설,공연/연극/문화센터
무안국악원,전라남도,장소,문화시설,공연/연극/문화센터
명월문화회관,제주특별자치도,장소,문화시설,공연/연극/문화센터
인산아트홀,서울특별시,장소,문화시설,공연/연극/문화센터
새로운도서센터,광주광역시,장소,문화시설,공연/연극/문화센터
영암도기박물관,전라남도,장소,문화시설,기타전시/박물관
