이름,지역,클래스,카테고리,세부분류
철조여래좌상,경상북도,장소,관광지,보물
송현동석불좌상,경상남도,장소,관광지,보물
용연사석조계단,대구광역시,장소,관광지,보물
영산만년교,경상남도,장소,관광지,보물
나한전,경상북도,장소,관광지,보물
관룡사석조여래좌상,경상남도,장소,관광지,보물
숙수사지,경상북도,장소,관광지,보물
송림사오층전탑,경상북도,장소,관광지,보물
기성동삼층석탑,경상북도,장소,관광지,보물
가흥리마애삼존불상,경상북도,장소,관광지,보물
삼층석탑,경상북도,장소,관광지,보물
영주리석불입상,경상북도,장소,관광지,보물
동석불입상,경상북도,장소,관광지,보물
대웅전,경상북도,장소,관광지,암자
원통전,경상북도,장소,관광지,보물
석조여래좌상,경상북도,장소,관광지,보물
부석사당간지주,경상북도,장소,관광지,보물
부석사석조여래좌상,경상북도,장소,관광지,보물
관덕동삼층석탑,경상북도,장소,관광지,보물
동화사당간지주,대구광역시,장소,관광지,보물
비로자나불좌상,경상남도,장소,관광지,보물
달성도학동석조부도,대구광역시,장소,관광지,보물
대웅전,대구광역시,장소,관광지,보물
극락전,경상북도,장소,관광지,보물
관봉석조여래좌상,대구광역시,장소,관광지,보물
빙산사지오층석탑,경상북도,장소,관광지,보물
청동보살좌상,경상북도,장소,관광지,보물
화남동삼층석탑,경상북도,장소,관광지,보물
대웅전,경상북도,장소,관광지,보물
극락전수미단,경상북도,장소,관광지,보물
인각사보각국사탑및비,경상북도,장소,관광지,보물
불굴사삼층석탑,경상북도,장소,관광지,보물
석불좌상부광배,경상북도,장소,관광지,보물
신복사지석불좌상,강원도,장소,관광지,보물
신복사지삼층석탑,강원도,장소,관광지,보물
대성전,강원도,장소,관광지,보물
영천향교대성전,경상북도,장소,관광지,보물
대광전,경상남도,장소,관광지,보물
금당앞석등,경상북도,장소,관광지,보물
선원동철불좌상,경상북도,장소,관광지,보물
석조여래좌상,경상남도,장소,관광지,보물
석불좌상,경상남도,장소,관광지,보물
석남사부도,울산광역시,장소,관광지,보물
삼층석탑,경상남도,장소,관광지,보물
조계문,부산광역시,장소,관광지,보물
국장생석표,경상남도,장소,관광지,보물
사지삼층석탑,경상북도,장소,관광지,보물
석아미타불입상,경상남도,장소,관광지,보물
화천동삼층석탑,경상북도,장소,관광지,보물
서악리마애석불상,경상북도,장소,관광지,보물
서악리삼층석탑,경상북도,장소,관광지,보물
삼층석탑,경상북도,장소,관광지,보물
불곡석불좌상,경상북도,장소,관광지,보물
탑곡마애조상군,경상북도,장소,관광지,보물
연화문당간지주,경상북도,장소,관광지,보물
